;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
9;01/01/24;0900 UTC;225.9
10;01/01/24;1000 UTC;949.0
11;01/01/24;1100 UTC;1743.4
12;01/01/24;1200 UTC;2661.2
13;01/01/24;1300 UTC;2034.2
14;01/01/24;1400 UTC;3482.3
15;01/01/24;1500 UTC;3969.7
16;01/01/24;1600 UTC;3476.1
17;01/01/24;1700 UTC;3040.6
18;01/01/24;1800 UTC;2438.4
19;01/01/24;1900 UTC;1586.0
20;01/01/24;2000 UTC;323.3
21;01/01/24;2100 UTC;73.0
33;02/01/24;0900 UTC;153.0
34;02/01/24;1000 UTC;925.3
35;02/01/24;1100 UTC;1766.2
36;02/01/24;1200 UTC;2612.8
37;02/01/24;1300 UTC;3319.9
38;02/01/24;1400 UTC;3727.8
39;02/01/24;1500 UTC;2956.9
40;02/01/24;1600 UTC;3449.5
41;02/01/24;1700 UTC;2934.7
42;02/01/24;1800 UTC;1572.1
43;02/01/24;1900 UTC;1483.2
44;02/01/24;2000 UTC;297.9
45;02/01/24;2100 UTC;89.4
57;03/01/24;0900 UTC;172.0
58;03/01/24;1000 UTC;858.2
59;03/01/24;1100 UTC;1704.2
60;03/01/24;1200 UTC;2330.8
61;03/01/24;1300 UTC;3560.0
62;03/01/24;1400 UTC;3861.3
63;03/01/24;1500 UTC;2905.7
64;03/01/24;1600 UTC;3534.0
65;03/01/24;1700 UTC;3063.7
66;03/01/24;1800 UTC;2498.7
67;03/01/24;1900 UTC;1576.1
68;03/01/24;2000 UTC;201.4
69;03/01/24;2100 UTC;54.1
81;04/01/24;0900 UTC;189.4
82;04/01/24;1000 UTC;950.2
83;04/01/24;1100 UTC;1491.4
84;04/01/24;1200 UTC;2253.1
85;04/01/24;1300 UTC;2721.1
86;04/01/24;1400 UTC;3240.4
87;04/01/24;1500 UTC;3640.2
88;04/01/24;1600 UTC;3084.1
89;04/01/24;1700 UTC;3118.4
90;04/01/24;1800 UTC;2520.0
91;04/01/24;1900 UTC;1610.8
92;04/01/24;2000 UTC;199.1
93;04/01/24;2100 UTC;61.0
105;05/01/24;0900 UTC;184.0
106;05/01/24;1000 UTC;963.8
107;05/01/24;1100 UTC;1524.8
108;05/01/24;1200 UTC;1932.3
109;05/01/24;1300 UTC;2846.6
110;05/01/24;1400 UTC;3329.4
111;05/01/24;1500 UTC;3455.7
112;05/01/24;1600 UTC;3581.9
113;05/01/24;1700 UTC;3067.7
114;05/01/24;1800 UTC;2443.0
115;05/01/24;1900 UTC;1590.6
116;05/01/24;2000 UTC;253.2
117;05/01/24;2100 UTC;70.2
129;06/01/24;0900 UTC;187.3
130;06/01/24;1000 UTC;989.4
131;06/01/24;1100 UTC;1657.1
132;06/01/24;1200 UTC;2686.7
133;06/01/24;1300 UTC;3099.0
134;06/01/24;1400 UTC;3848.6
135;06/01/24;1500 UTC;3874.1
136;06/01/24;1600 UTC;3600.0
137;06/01/24;1700 UTC;3175.9
138;06/01/24;1800 UTC;2588.7
139;06/01/24;1900 UTC;1698.1
140;06/01/24;2000 UTC;176.7
141;06/01/24;2100 UTC;51.9
153;07/01/24;0900 UTC;185.1
154;07/01/24;1000 UTC;1014.5
155;07/01/24;1100 UTC;1790.1
156;07/01/24;1200 UTC;2366.7
157;07/01/24;1300 UTC;2723.9
158;07/01/24;1400 UTC;2531.5
159;07/01/24;1500 UTC;3910.5
160;07/01/24;1600 UTC;3589.4
161;07/01/24;1700 UTC;3195.0
162;07/01/24;1800 UTC;2661.7
163;07/01/24;1900 UTC;1804.7
164;07/01/24;2000 UTC;157.4
165;07/01/24;2100 UTC;52.3
177;08/01/24;0900 UTC;71.6
178;08/01/24;1000 UTC;637.5
179;08/01/24;1100 UTC;1356.4
180;08/01/24;1200 UTC;2483.9
181;08/01/24;1300 UTC;2942.1
182;08/01/24;1400 UTC;3131.4
183;08/01/24;1500 UTC;3808.1
184;08/01/24;1600 UTC;3365.3
185;08/01/24;1700 UTC;2793.3
186;08/01/24;1800 UTC;1429.3
187;08/01/24;1900 UTC;961.4
188;08/01/24;2000 UTC;229.6
189;08/01/24;2100 UTC;93.9
201;09/01/24;0900 UTC;39.6
202;09/01/24;1000 UTC;317.9
203;09/01/24;1100 UTC;1544.8
204;09/01/24;1200 UTC;2676.6
205;09/01/24;1300 UTC;2289.2
206;09/01/24;1400 UTC;2557.4
207;09/01/24;1500 UTC;1846.0
208;09/01/24;1600 UTC;2842.7
209;09/01/24;1700 UTC;1868.2
210;09/01/24;1800 UTC;1580.5
211;09/01/24;1900 UTC;1091.9
212;09/01/24;2000 UTC;409.2
213;09/01/24;2100 UTC;66.9
225;10/01/24;0900 UTC;38.1
226;10/01/24;1000 UTC;201.4
227;10/01/24;1100 UTC;482.4
228;10/01/24;1200 UTC;730.0
229;10/01/24;1300 UTC;1039.7
230;10/01/24;1400 UTC;815.2
231;10/01/24;1500 UTC;1415.6
232;10/01/24;1600 UTC;2546.9
233;10/01/24;1700 UTC;1029.4
234;10/01/24;1800 UTC;1730.3
235;10/01/24;1900 UTC;1383.6
236;10/01/24;2000 UTC;563.7
237;10/01/24;2100 UTC;108.3
249;11/01/24;0900 UTC;25.7
250;11/01/24;1000 UTC;351.0
251;11/01/24;1100 UTC;496.0
252;11/01/24;1200 UTC;1617.8
253;11/01/24;1300 UTC;1717.5
254;11/01/24;1400 UTC;1369.9
255;11/01/24;1500 UTC;1250.1
256;11/01/24;1600 UTC;1540.8
257;11/01/24;1700 UTC;2057.0
258;11/01/24;1800 UTC;1869.0
259;11/01/24;1900 UTC;1247.1
260;11/01/24;2000 UTC;416.4
261;11/01/24;2100 UTC;90.9
273;12/01/24;0900 UTC;176.2
274;12/01/24;1000 UTC;971.0
275;12/01/24;1100 UTC;1720.4
276;12/01/24;1200 UTC;2295.0
277;12/01/24;1300 UTC;2559.8
278;12/01/24;1400 UTC;3871.0
279;12/01/24;1500 UTC;3580.1
280;12/01/24;1600 UTC;3349.2
281;12/01/24;1700 UTC;3125.1
282;12/01/24;1800 UTC;2634.1
283;12/01/24;1900 UTC;1841.7
284;12/01/24;2000 UTC;173.0
285;12/01/24;2100 UTC;59.9
297;13/01/24;0900 UTC;145.9
298;13/01/24;1000 UTC;924.4
299;13/01/24;1100 UTC;1755.3
300;13/01/24;1200 UTC;2263.7
301;13/01/24;1300 UTC;1824.3
302;13/01/24;1400 UTC;2328.7
303;13/01/24;1500 UTC;3063.7
304;13/01/24;1600 UTC;3287.2
305;13/01/24;1700 UTC;1019.2
306;13/01/24;1800 UTC;618.2
307;13/01/24;1900 UTC;379.0
308;13/01/24;2000 UTC;356.7
309;13/01/24;2100 UTC;54.3
321;14/01/24;0900 UTC;146.0
322;14/01/24;1000 UTC;908.3
323;14/01/24;1100 UTC;1641.0
324;14/01/24;1200 UTC;1855.5
325;14/01/24;1300 UTC;3170.2
326;14/01/24;1400 UTC;2166.9
327;14/01/24;1500 UTC;2638.0
328;14/01/24;1600 UTC;3225.9
329;14/01/24;1700 UTC;3145.0
330;14/01/24;1800 UTC;2390.8
331;14/01/24;1900 UTC;1748.5
332;14/01/24;2000 UTC;213.3
333;14/01/24;2100 UTC;75.7
345;15/01/24;0900 UTC;128.7
346;15/01/24;1000 UTC;875.3
347;15/01/24;1100 UTC;1831.0
348;15/01/24;1200 UTC;1448.9
349;15/01/24;1300 UTC;2466.8
350;15/01/24;1400 UTC;3203.3
351;15/01/24;1500 UTC;3822.2
352;15/01/24;1600 UTC;3505.0
353;15/01/24;1700 UTC;3150.3
354;15/01/24;1800 UTC;2426.3
355;15/01/24;1900 UTC;1509.6
356;15/01/24;2000 UTC;473.4
357;15/01/24;2100 UTC;67.7
369;16/01/24;0900 UTC;129.2
370;16/01/24;1000 UTC;932.9
371;16/01/24;1100 UTC;1820.8
372;16/01/24;1200 UTC;2393.7
373;16/01/24;1300 UTC;3441.1
374;16/01/24;1400 UTC;3702.0
375;16/01/24;1500 UTC;3823.9
376;16/01/24;1600 UTC;3578.5
377;16/01/24;1700 UTC;3204.8
378;16/01/24;1800 UTC;2746.8
379;16/01/24;1900 UTC;1281.3
380;16/01/24;2000 UTC;218.4
381;16/01/24;2100 UTC;119.9
393;17/01/24;0900 UTC;74.4
394;17/01/24;1000 UTC;467.4
395;17/01/24;1100 UTC;537.9
396;17/01/24;1200 UTC;1150.4
397;17/01/24;1300 UTC;1321.6
398;17/01/24;1400 UTC;2234.0
399;17/01/24;1500 UTC;2183.6
400;17/01/24;1600 UTC;2387.0
401;17/01/24;1700 UTC;3192.2
402;17/01/24;1800 UTC;2562.8
403;17/01/24;1900 UTC;1724.9
404;17/01/24;2000 UTC;317.7
405;17/01/24;2100 UTC;82.7
417;18/01/24;0900 UTC;85.8
418;18/01/24;1000 UTC;621.9
419;18/01/24;1100 UTC;1170.9
420;18/01/24;1200 UTC;1821.7
421;18/01/24;1300 UTC;1577.9
422;18/01/24;1400 UTC;3525.4
423;18/01/24;1500 UTC;3564.0
424;18/01/24;1600 UTC;3508.7
425;18/01/24;1700 UTC;3139.3
426;18/01/24;1800 UTC;2585.2
427;18/01/24;1900 UTC;1903.6
428;18/01/24;2000 UTC;366.5
429;18/01/24;2100 UTC;82.2
441;19/01/24;0900 UTC;95.4
442;19/01/24;1000 UTC;796.8
443;19/01/24;1100 UTC;1728.0
444;19/01/24;1200 UTC;1924.3
445;19/01/24;1300 UTC;2729.6
446;19/01/24;1400 UTC;2829.9
447;19/01/24;1500 UTC;3690.7
448;19/01/24;1600 UTC;3352.6
449;19/01/24;1700 UTC;2817.1
450;19/01/24;1800 UTC;2189.3
451;19/01/24;1900 UTC;1619.7
452;19/01/24;2000 UTC;359.7
